college_name,course,location,fees,type,min_percentage,website
Hyderabad BSc College 355,BSc,Hyderabad,292137,Private,87,https://example355.edu.in
Kolkata BCA College 356,BCA,Kolkata,301042,Private,66,https://example356.edu.in
Noida BSc College 357,BSc,Noida,126987,Government,78,https://example357.edu.in
Jaipur BSc College 358,BSc,Jaipur,137526,Private,73,https://example358.edu.in
Chennai B.Tech College 359,B.Tech,Chennai,216542,Government,78,https://example359.edu.in
Hyderabad BA College 360,BA,Hyderabad,155581,Government,69,https://example360.edu.in
Kolkata BBA College 361,BBA,Kolkata,332576,Private,77,https://example361.edu.in
Noida BBA College 362,BBA,Noida,169165,Government,80,https://example362.edu.in
Lucknow BBA College 363,BBA,Lucknow,28147,Government,79,https://example363.edu.in
Lucknow BA College 364,BA,Lucknow,93463,Private,80,https://example364.edu.in
Mumbai B.Tech College 365,B.Tech,Mumbai,90309,Private,70,https://example365.edu.in
Delhi BBA College 366,BBA,Delhi,122699,Government,81,https://example366.edu.in
Lucknow B.Tech College 367,B.Tech,Lucknow,209139,Private,76,https://example367.edu.in
Bangalore BBA College 368,BBA,Bangalore,328803,Private,84,https://example368.edu.in
Mumbai BBA College 369,BBA,Mumbai,249935,Private,87,https://example369.edu.in
Delhi BCA College 370,BCA,Delhi,249989,Private,62,https://example370.edu.in
Pune BSc College 371,BSc,Pune,20526,Government,65,https://example371.edu.in
Hyderabad BBA College 372,BBA,Hyderabad,329717,Private,78,https://example372.edu.in
Kolkata B.Tech College 373,B.Tech,Kolkata,285936,Government,85,https://example373.edu.in
Bangalore BA College 374,BA,Bangalore,268273,Government,80,https://example374.edu.in
Noida BBA College 375,BBA,Noida,303499,Government,92,https://example375.edu.in
Noida BA College 376,BA,Noida,335794,Government,93,https://example376.edu.in
Bangalore BSc College 377,BSc,Bangalore,345931,Government,93,https://example377.edu.in
Kolkata B.Tech College 378,B.Tech,Kolkata,222433,Government,80,https://example378.edu.in
Noida B.Tech College 379,B.Tech,Noida,248935,Private,87,https://example379.edu.in
Chennai BBA College 380,BBA,Chennai,236320,Government,61,https://example380.edu.in
Hyderabad B.Tech College 381,B.Tech,Hyderabad,345818,Private,95,https://example381.edu.in
Jaipur BCA College 382,BCA,Jaipur,311076,Government,73,https://example382.edu.in
Noida BCA College 383,BCA,Noida,289051,Private,73,https://example383.edu.in
Noida BA College 384,BA,Noida,215493,Private,85,https://example384.edu.in
Chennai B.Tech College 385,B.Tech,Chennai,55940,Private,77,https://example385.edu.in
Chennai BCA College 386,BCA,Chennai,145881,Private,83,https://example386.edu.in
Mumbai BBA College 387,BBA,Mumbai,193618,Government,76,https://example387.edu.in
Kolkata B.Tech College 388,B.Tech,Kolkata,165326,Private,85,https://example388.edu.in
Delhi B.Tech College 389,B.Tech,Delhi,195251,Private,78,https://example389.edu.in
Delhi BCA College 390,BCA,Delhi,90750,Government,72,https://example390.edu.in
Noida BCA College 391,BCA,Noida,270720,Private,83,https://example391.edu.in
Pune BA College 392,BA,Pune,67385,Private,73,https://example392.edu.in
Mumbai BA College 393,BA,Mumbai,309973,Private,67,https://example393.edu.in
Delhi BSc College 394,BSc,Delhi,251942,Private,68,https://example394.edu.in
Mumbai BBA College 395,BBA,Mumbai,240169,Private,79,https://example395.edu.in
Lucknow BSc College 396,BSc,Lucknow,228157,Government,72,https://example396.edu.in
Jaipur BCA College 397,BCA,Jaipur,219283,Private,92,https://example397.edu.in
Kolkata BCA College 398,BCA,Kolkata,42402,Government,71,https://example398.edu.in
Mumbai B.Tech College 399,B.Tech,Mumbai,273821,Private,63,https://example399.edu.in
Kolkata BBA College 400,BBA,Kolkata,302523,Private,94,https://example400.edu.in
Jaipur BBA College 401,BBA,Jaipur,342869,Private,63,https://example401.edu.in
Kolkata BCA College 402,BCA,Kolkata,176871,Government,83,https://example402.edu.in
Hyderabad BBA College 403,BBA,Hyderabad,44146,Government,93,https://example403.edu.in
Mumbai BSc College 404,BSc,Mumbai,68646,Private,63,https://example404.edu.in
Chennai B.Tech College 405,B.Tech,Chennai,88452,Government,81,https://example405.edu.in
Jaipur BA College 406,BA,Jaipur,184841,Government,80,https://example406.edu.in
Bangalore BA College 407,BA,Bangalore,242090,Private,94,https://example407.edu.in
Delhi BSc College 408,BSc,Delhi,183326,Government,61,https://example408.edu.in
Lucknow BBA College 409,BBA,Lucknow,238339,Government,79,https://example409.edu.in
Hyderabad B.Tech College 410,B.Tech,Hyderabad,145814,Private,64,https://example410.edu.in
Jaipur BBA College 411,BBA,Jaipur,204772,Government,77,https://example411.edu.in
Hyderabad B.Tech College 412,B.Tech,Hyderabad,86008,Government,81,https://example412.edu.in
Mumbai BSc College 413,BSc,Mumbai,260960,Government,94,https://example413.edu.in
Mumbai BBA College 414,BBA,Mumbai,214067,Government,74,https://example414.edu.in
Kolkata B.Tech College 415,B.Tech,Kolkata,344278,Private,77,https://example415.edu.in
Kolkata BCA College 416,BCA,Kolkata,331231,Government,74,https://example416.edu.in
Hyderabad BA College 417,BA,Hyderabad,146572,Government,74,https://example417.edu.in
Jaipur BCA College 418,BCA,Jaipur,194404,Government,62,https://example418.edu.in
Kolkata BSc College 419,BSc,Kolkata,289229,Government,60,https://example419.edu.in
Hyderabad B.Tech College 420,B.Tech,Hyderabad,179574,Government,61,https://example420.edu.in
Pune BA College 421,BA,Pune,303221,Government,77,https://example421.edu.in
Pune BSc College 422,BSc,Pune,221133,Private,80,https://example422.edu.in
Bangalore BA College 423,BA,Bangalore,321743,Private,86,https://example423.edu.in
Hyderabad BCA College 424,BCA,Hyderabad,148154,Private,76,https://example424.edu.in
Delhi BCA College 425,BCA,Delhi,65074,Government,87,https://example425.edu.in
Hyderabad BBA College 426,BBA,Hyderabad,201878,Private,95,https://example426.edu.in
Hyderabad BA College 427,BA,Hyderabad,316664,Private,72,https://example427.edu.in
Mumbai BSc College 428,BSc,Mumbai,322089,Private,86,https://example428.edu.in
Chennai B.Tech College 429,B.Tech,Chennai,272476,Private,81,https://example429.edu.in
Pune BSc College 430,BSc,Pune,241839,Private,64,https://example430.edu.in
Mumbai BA College 431,BA,Mumbai,167591,Government,71,https://example431.edu.in
Chennai B.Tech College 432,B.Tech,Chennai,321817,Government,67,https://example432.edu.in
Mumbai BSc College 433,BSc,Mumbai,268736,Government,67,https://example433.edu.in
Pune BA College 434,BA,Pune,338586,Government,72,https://example434.edu.in
Hyderabad BCA College 435,BCA,Hyderabad,126163,Government,87,https://example435.edu.in
Noida BA College 436,BA,Noida,120150,Private,68,https://example436.edu.in
Chennai BBA College 437,BBA,Chennai,189866,Private,90,https://example437.edu.in
Delhi BSc College 438,BSc,Delhi,81291,Private,70,https://example438.edu.in
Jaipur BBA College 439,BBA,Jaipur,326807,Private,94,https://example439.edu.in
Delhi BA College 440,BA,Delhi,346949,Private,88,https://example440.edu.in
Pune BBA College 441,BBA,Pune,20327,Private,82,https://example441.edu.in
Mumbai BCA College 442,BCA,Mumbai,209568,Government,63,https://example442.edu.in
Pune BCA College 443,BCA,Pune,276730,Government,90,https://example443.edu.in
Delhi BA College 444,BA,Delhi,180511,Government,90,https://example444.edu.in
Lucknow BCA College 445,BCA,Lucknow,215123,Government,94,https://example445.edu.in
Pune BBA College 446,BBA,Pune,293522,Private,67,https://example446.edu.in
Jaipur BA College 447,BA,Jaipur,211906,Private,92,https://example447.edu.in
Jaipur BSc College 448,BSc,Jaipur,116815,Private,62,https://example448.edu.in
Delhi BBA College 449,BBA,Delhi,86565,Government,91,https://example449.edu.in
Kolkata BA College 450,BA,Kolkata,110405,Private,87,https://example450.edu.in
Hyderabad BSc College 451,BSc,Hyderabad,298152,Government,95,https://example451.edu.in
Jaipur BSc College 452,BSc,Jaipur,285218,Private,70,https://example452.edu.in
Jaipur BBA College 453,BBA,Jaipur,98784,Private,74,https://example453.edu.in
Jaipur BSc College 454,BSc,Jaipur,113647,Government,66,https://example454.edu.in
Pune BCA College 455,BCA,Pune,277149,Government,88,https://example455.edu.in
Delhi BSc College 456,BSc,Delhi,70553,Government,64,https://example456.edu.in
Hyderabad B.Tech College 457,B.Tech,Hyderabad,274384,Private,95,https://example457.edu.in
Pune BBA College 458,BBA,Pune,239610,Private,78,https://example458.edu.in
Hyderabad BSc College 459,BSc,Hyderabad,61049,Government,74,https://example459.edu.in
Lucknow BSc College 460,BSc,Lucknow,37962,Government,73,https://example460.edu.in
Lucknow BCA College 461,BCA,Lucknow,288534,Private,91,https://example461.edu.in
Noida BCA College 462,BCA,Noida,260316,Private,95,https://example462.edu.in
Mumbai BSc College 463,BSc,Mumbai,216982,Government,80,https://example463.edu.in
Kolkata B.Tech College 464,B.Tech,Kolkata,173657,Private,94,https://example464.edu.in
Noida BA College 465,BA,Noida,102623,Private,90,https://example465.edu.in
Jaipur BCA College 466,BCA,Jaipur,139739,Private,88,https://example466.edu.in
Kolkata BCA College 467,BCA,Kolkata,109253,Government,65,https://example467.edu.in
Lucknow B.Tech College 468,B.Tech,Lucknow,229627,Government,61,https://example468.edu.in
Kolkata BCA College 469,BCA,Kolkata,129139,Private,79,https://example469.edu.in
Chennai B.Tech College 470,B.Tech,Chennai,95042,Government,65,https://example470.edu.in
Lucknow BCA College 471,BCA,Lucknow,275366,Private,84,https://example471.edu.in
Chennai BSc College 472,BSc,Chennai,116831,Private,65,https://example472.edu.in
Pune BCA College 473,BCA,Pune,269470,Private,74,https://example473.edu.in
Lucknow BCA College 474,BCA,Lucknow,264382,Government,78,https://example474.edu.in
Lucknow B.Tech College 475,B.Tech,Lucknow,47771,Private,87,https://example475.edu.in
Delhi BCA College 476,BCA,Delhi,53642,Government,85,https://example476.edu.in
Noida BBA College 477,BBA,Noida,154572,Government,81,https://example477.edu.in
Bangalore BA College 478,BA,Bangalore,84430,Government,72,https://example478.edu.in
Chennai BA College 479,BA,Chennai,149529,Government,67,https://example479.edu.in
Jaipur BBA College 480,BBA,Jaipur,110273,Government,60,https://example480.edu.in
Pune BA College 481,BA,Pune,66943,Private,92,https://example481.edu.in
Jaipur B.Tech College 482,B.Tech,Jaipur,251640,Government,63,https://example482.edu.in
Delhi BCA College 483,BCA,Delhi,135528,Private,73,https://example483.edu.in
Hyderabad BCA College 484,BCA,Hyderabad,311897,Government,69,https://example484.edu.in
Pune BSc College 485,BSc,Pune,165138,Private,65,https://example485.edu.in
Jaipur BBA College 486,BBA,Jaipur,23648,Government,77,https://example486.edu.in
Mumbai BCA College 487,BCA,Mumbai,106422,Government,76,https://example487.edu.in
Mumbai BBA College 488,BBA,Mumbai,283008,Government,82,https://example488.edu.in
Delhi BSc College 489,BSc,Delhi,158368,Government,63,https://example489.edu.in
Kolkata BBA College 490,BBA,Kolkata,238969,Private,83,https://example490.edu.in
Hyderabad B.Tech College 491,B.Tech,Hyderabad,81618,Private,80,https://example491.edu.in
Jaipur BA College 492,BA,Jaipur,260951,Private,94,https://example492.edu.in
Lucknow BCA College 493,BCA,Lucknow,26893,Private,91,https://example493.edu.in
Pune BCA College 494,BCA,Pune,325180,Private,88,https://example494.edu.in
Kolkata BA College 495,BA,Kolkata,245590,Government,65,https://example495.edu.in
Hyderabad BBA College 496,BBA,Hyderabad,186599,Government,61,https://example496.edu.in
Hyderabad BCA College 497,BCA,Hyderabad,347235,Government,79,https://example497.edu.in
Delhi BCA College 498,BCA,Delhi,259202,Government,82,https://example498.edu.in
Lucknow BCA College 499,BCA,Lucknow,297717,Private,74,https://example499.edu.in
Hyderabad BSc College 500,BSc,Hyderabad,264567,Government,88,https://example500.edu.in
